Time,Force,EMG,
0,0.1482294,0.01222043,
0.001,0.1482294,0.01222043,
0.002,0.1482294,0.01222043,
0.003,0.1482294,0.01222043,
0.004,0.1787544,0.01222043,
0.005,0.1787544,0.01222043,
0.006,0.1787544,0.01222043,
0.007,0.1787544,0.01222043,
0.008,0.1787544,0.01222043,
0.009,0.1787544,0.01222043,
0.01,0.1787544,0.01222043,
0.011,0.1787544,0.01222043,
0.012,0.1787544,0.01222043,
0.013,0.1787544,0.01222043,
0.014,0.1787544,0.01222043,
0.015,0.1787544,0.01222043,
0.016,0.1787544,0.01222043,
0.017,0.1787544,0.01222043,
0.018,0.1787544,0.01222043,
0.019,0.1787544,0.01222043,
0.02,0.1787544,0.01222043,
0.021,0.1787544,0.01222043,
0.022,0.1787544,0.01222043,
0.023,0.1787544,0.01222043,
0.024,0.1482294,0.01222043,
0.025,0.1787544,0.01222043,
0.026,0.1787544,0.01222043,
0.027,0.1787544,0.01222043,
0.028,0.2092793,0.01222043,
0.029,0.1787544,0.01222043,
0.03,0.1787544,0.01222043,
0.031,0.1787544,0.01222043,
0.032,0.2092793,0.01221546,
0.033,0.1787544,0.01221546,
0.034,0.1787544,0.01221546,
0.035,0.1787544,0.01221546,
0.036,0.1787544,0.01221546,
0.037,0.1787544,0.01221546,
0.038,0.1787544,0.01221546,
0.039,0.1787544,0.01221546,
0.04,0.1787544,0.01221546,
0.041,0.1787544,0.01221546,
0.042,0.1787544,0.01221546,
0.043,0.1787544,0.01221546,
0.044,0.1787544,0.01221546,
0.045,0.1787544,0.01221546,
0.046,0.1787544,0.01221546,
0.047,0.1787544,0.01221546,
0.048,0.1787544,0.01221546,
0.049,0.1787544,0.01221546,
0.05,0.1787544,0.01221546,
0.051,0.1787544,0.01221546,
0.052,0.1787544,0.01221546,
0.053,0.1787544,0.01221546,
0.054,0.1787544,0.01221546,
0.055,0.1787544,0.01221546,
0.056,0.1787544,0.01221546,
0.057,0.1787544,0.01221546,
0.058,0.1787544,0.01221546,
0.059,0.1787544,0.01221546,
0.06,0.1787544,0.01221546,
0.061,0.2092793,0.01221546,
0.062,0.1787544,0.01221546,
0.063,0.1787544,0.01221546,
0.064,0.1787544,0.01221546,
0.065,0.1787544,0.01221546,
0.066,0.1787544,0.01221546,
0.067,0.2092793,0.01221546,
0.068,0.2092793,0.01221546,
0.069,0.2092793,0.01221546,
0.07,0.2092793,0.01221546,
0.071,0.1787544,0.01221546,
0.072,0.1787544,0.01221537,
0.073,0.1787544,0.01221537,
0.074,0.1787544,0.01221527,
0.075,0.1787544,0.01221527,
0.076,0.1787544,0.01221527,
0.077,0.1787544,0.01221527,
0.078,0.1787544,0.01221537,
0.079,0.1787544,0.01221537,
0.08,0.1787544,0.01221546,
0.081,0.1787544,0.01221556,
0.082,0.2092793,0.01221565,
0.083,0.1787544,0.01221584,
0.084,0.1787544,0.01221594,
0.085,0.1787544,0.01221594,
0.086,0.1787544,0.01221594,
0.087,0.1787544,0.01221594,
0.088,0.1787544,0.01221584,
0.089,0.1787544,0.01221556,
0.09,0.2092793,0.01221527,
0.091,0.2092793,0.01221489,
0.092,0.1787544,0.01221441,
0.093,0.2092793,0.01221393,
0.094,0.2092793,0.01221336,
0.095,0.2092793,0.01221279,
0.096,0.2092793,0.01221222,
0.097,0.2092793,0.01221174,
0.098,0.2092793,0.01221126,
0.099,0.2092793,0.01221088,
0.1,0.2092793,0.01221059,
0.101,0.1787544,0.01221031,
0.102,0.1787544,0.01221021,
0.103,0.1787544,0.01221011,
0.104,0.1787544,0.01221021,
0.105,0.1787544,0.01221021,
0.106,0.1787544,0.01221031,
0.107,0.1787544,0.0122105,
0.108,0.1787544,0.01221059,
0.109,0.1787544,0.01221069,
