Time,Force,EMG,
0,5.642728,0.01410112,
0.001,5.703778,0.01410112,
0.002,5.734303,0.01410112,
0.003,5.795353,0.01410112,
0.004,5.886928,0.01410112,
0.005,5.917453,0.01410112,
0.006,5.978503,0.01410112,
0.007,6.039553,0.01410112,
0.008,6.131128,0.01410112,
0.009,6.192178,0.01410112,
0.01,6.253228,0.01410112,
0.011,6.344803,0.01410112,
0.012,6.405853,0.01410112,
0.013,6.466903,0.01410112,
0.014,6.527953,0.01410112,
0.015,6.589003,0.01410112,
0.016,6.650053,0.01410112,
0.017,6.711103,0.01410112,
0.018,6.802678,0.01410112,
0.019,6.863728,0.01410112,
0.02,6.924778,0.01410112,
0.021,7.016353,0.01410112,
0.022,7.077403,0.01410112,
0.023,7.138453,0.01410112,
0.024,7.199503,0.01410112,
0.025,7.230028,0.01410112,
0.026,7.291078,0.01410112,
0.027,7.352128,0.01410112,
0.028,7.413178,0.01410112,
0.029,7.443703,0.01410112,
0.03,7.474228,0.01410112,
0.031,7.504753,0.01410112,
0.032,7.535278,0.01409539,
0.033,7.565803,0.01409539,
0.034,7.596328,0.01409539,
0.035,7.596328,0.01409539,
0.036,7.596328,0.01409539,
0.037,7.626853,0.01409539,
0.038,7.657378,0.01409539,
0.039,7.687903,0.01409539,
0.04,7.779477,0.01409539,
0.041,7.810002,0.01409539,
0.042,7.810002,0.01409539,
0.043,7.810002,0.01409539,
0.044,7.810002,0.01409539,
0.045,7.871052,0.01409539,
0.046,7.901577,0.01409539,
0.047,7.901577,0.01409539,
0.048,7.901577,0.01409539,
0.049,7.871052,0.01409539,
0.05,7.840527,0.01409539,
0.051,7.810002,0.01409539,
0.052,7.810002,0.01409539,
0.053,7.840527,0.01409539,
0.054,7.810002,0.01409539,
0.055,7.810002,0.01409539,
0.056,7.840527,0.01409539,
0.057,7.810002,0.01409539,
0.058,7.810002,0.01409539,
0.059,7.840527,0.01409539,
0.06,7.840527,0.01409539,
0.061,7.871052,0.01409539,
0.062,7.840527,0.01409539,
0.063,7.840527,0.01409539,
0.064,7.871052,0.01409539,
0.065,7.901577,0.01409539,
0.066,7.871052,0.01409539,
0.067,7.901577,0.01409539,
0.068,7.901577,0.01409539,
0.069,7.901577,0.01409539,
0.07,7.901577,0.01409539,
0.071,7.932102,0.01409539,
0.072,7.962627,0.0140953,
0.073,7.962627,0.0140953,
0.074,7.962627,0.0140952,
0.075,7.962627,0.0140952,
0.076,7.932102,0.0140952,
0.077,7.932102,0.0140952,
0.078,7.932102,0.0140952,
