Time,Force,EMG,
0,0.6366292,0.01124829,
0.001,0.6366292,0.01124829,
0.002,0.6366292,0.01124829,
0.003,0.6366292,0.01124829,
0.004,0.6366292,0.01124829,
0.005,0.6366292,0.01124829,
0.006,0.6061043,0.01124829,
0.007,0.6061043,0.01124829,
0.008,0.6061043,0.01124829,
0.009,0.6061043,0.01124829,
0.01,0.6366292,0.01124829,
0.011,0.6366292,0.01124829,
0.012,0.6366292,0.01124829,
0.013,0.6366292,0.01124829,
0.014,0.6366292,0.01124829,
0.015,0.6366292,0.01124829,
0.016,0.6366292,0.01124829,
0.017,0.6366292,0.01124829,
0.018,0.6366292,0.01124829,
0.019,0.6366292,0.01124829,
0.02,0.6366292,0.01124829,
0.021,0.6061043,0.01124829,
0.022,0.6061043,0.01124829,
0.023,0.6366292,0.01124829,
0.024,0.6061043,0.01124829,
0.025,0.6061043,0.01124829,
0.026,0.6366292,0.01124829,
0.027,0.6366292,0.01124829,
0.028,0.6366292,0.01124829,
0.029,0.6366292,0.01124829,
0.03,0.6366292,0.01124829,
0.031,0.6366292,0.01124829,
0.032,0.6366292,0.0112437,
0.033,0.6671542,0.0112437,
0.034,0.6671542,0.0112437,
0.035,0.6671542,0.0112437,
0.036,0.6366292,0.0112437,
0.037,0.6366292,0.0112437,
0.038,0.6366292,0.0112437,
0.039,0.6671542,0.0112437,
0.04,0.6671542,0.0112437,
0.041,0.6671542,0.0112437,
0.042,0.6671542,0.0112437,
0.043,0.6366292,0.0112437,
0.044,0.6366292,0.0112437,
0.045,0.6366292,0.0112437,
0.046,0.6366292,0.0112437,
0.047,0.6366292,0.0112437,
0.048,0.6366292,0.0112437,
0.049,0.6366292,0.0112437,
0.05,0.6366292,0.0112437,
0.051,0.6671542,0.0112437,
0.052,0.6366292,0.0112437,
0.053,0.6366292,0.0112437,
0.054,0.6671542,0.0112437,
0.055,0.6366292,0.0112437,
0.056,0.6366292,0.0112437,
0.057,0.6366292,0.0112437,
0.058,0.6366292,0.0112437,
0.059,0.6366292,0.0112437,
0.06,0.6366292,0.0112437,
0.061,0.6671542,0.0112437,
0.062,0.6671542,0.0112437,
0.063,0.6671542,0.0112437,
0.064,0.6671542,0.0112437,
0.065,0.6671542,0.0112437,
0.066,0.6671542,0.0112437,
0.067,0.6671542,0.0112437,
0.068,0.6671542,0.0112437,
0.069,0.6671542,0.0112437,
0.07,0.6671542,0.0112437,
0.071,0.6366292,0.0112437,
0.072,0.6366292,0.01124361,
0.073,0.6366292,0.01124361,
0.074,0.6366292,0.01124361,
0.075,0.6366292,0.01124361,
0.076,0.6366292,0.01124351,
0.077,0.6366292,0.01124351,
0.078,0.6671542,0.01124361,
0.079,0.6671542,0.01124361,
0.08,0.6671542,0.0112437,
0.081,0.6366292,0.0112438,
0.082,0.6366292,0.01124389,
0.083,0.6366292,0.01124399,
0.084,0.6671542,0.01124408,
0.085,0.6671542,0.01124418,
0.086,0.6366292,0.01124418,
0.087,0.6671542,0.01124418,
0.088,0.6366292,0.01124399,
0.089,0.6366292,0.0112438,
0.09,0.6366292,0.01124351,
0.091,0.6366292,0.01124323,
0.092,0.6366292,0.01124275,
0.093,0.6671542,0.01124227,
0.094,0.6671542,0.01124179,
0.095,0.6671542,0.01124122,
0.096,0.6671542,0.01124074,
0.097,0.6366292,0.01124027,
0.098,0.6366292,0.01123988,
0.099,0.6366292,0.0112395,
0.1,0.6671542,0.01123922,
0.101,0.6671542,0.01123902,
0.102,0.6671542,0.01123893,
0.103,0.6366292,0.01123883,
0.104,0.6671542,0.01123883,
0.105,0.6366292,0.01123893,
0.106,0.6671542,0.01123902,
0.107,0.6671542,0.01123912,
0.108,0.6671542,0.01123922,
0.109,0.6366292,0.01123931,
0.11,0.6671542,0.01123941,
0.111,0.6671542,0.01123941,
0.112,0.6366292,0.0112395,
0.113,0.6366292,0.0112395,
0.114,0.6366292,0.0112395,
0.115,0.6366292,0.01123941,
0.116,0.6366292,0.01123941,
0.117,0.6366292,0.01123941,
0.118,0.6366292,0.01123931,
0.119,0.6366292,0.01123931,
0.12,0.6366292,0.01123931,
0.121,0.6366292,0.01123931,
0.122,0.6366292,0.01123931,
0.123,0.6671542,0.01123931,
0.124,0.6366292,0.01123931,
0.125,0.6671542,0.01123931,
0.126,0.6671542,0.01123931,
0.127,0.6671542,0.01123931,
0.128,0.6671542,0.01123931,
0.129,0.6671542,0.01123931,
0.13,0.6671542,0.01123931,
0.131,0.6671542,0.01123931,
0.132,0.6671542,0.01123931,
0.133,0.6671542,0.01123931,
0.134,0.6671542,0.01123931,
0.135,0.6671542,0.01123931,
0.136,0.6671542,0.01123931,
0.137,0.6671542,0.01123931,
0.138,0.6671542,0.01123941,
0.139,0.6366292,0.01123941,
0.14,0.6366292,0.01123941,
0.141,0.6366292,0.01123941,
0.142,0.6366292,0.01123931,
0.143,0.6671542,0.01123931,
0.144,0.6366292,0.01123931,
0.145,0.6366292,0.01123931,
0.146,0.6366292,0.01123931,
0.147,0.6671542,0.01123922,
0.148,0.6671542,0.01123922,
0.149,0.6671542,0.01123922,
0.15,0.6366292,0.01123922,
0.151,0.6671542,0.01123922,
0.152,0.6671542,0.01123922,
0.153,0.6671542,0.01123931,
0.154,0.6366292,0.01123931,
0.155,0.6366292,0.01123941,
0.156,0.6366292,0.0112395,
0.157,0.6366292,0.01123969,
0.158,0.6366292,0.01123988,
0.159,0.6671542,0.01124007,
0.16,0.6671542,0.01124027,
0.161,0.6671542,0.01124055,
0.162,0.6671542,0.01124084,
0.163,0.6671542,0.01124112,
0.164,0.6671542,0.01124151,
0.165,0.6671542,0.01124179,
0.166,0.6671542,0.01124217,
0.167,0.6366292,0.01124246,
0.168,0.6366292,0.01124275,
0.169,0.6366292,0.01124303,
0.17,0.6671542,0.01124332,
0.171,0.6671542,0.01124351,
0.172,0.6671542,0.01124361,
0.173,0.6671542,0.0112437,
0.174,0.6671542,0.0112437,
0.175,0.6366292,0.01124361,
0.176,0.6366292,0.01124342,
0.177,0.6366292,0.01124323,
0.178,0.6366292,0.01124284,
0.179,0.6671542,0.01124237,
0.18,0.6671542,0.01124179,
0.181,0.6671542,0.01124112,
0.182,0.6366292,0.01124027,
0.183,0.6671542,0.01123941,
0.184,0.6366292,0.01123836,
0.185,0.6366292,0.01123731,
0.186,0.6366292,0.01123616,
0.187,0.6366292,0.01123492,
0.188,0.6366292,0.01123358,
0.189,0.6366292,0.01123225,
0.19,0.6366292,0.01123081,
0.191,0.6671542,0.01122938,
0.192,0.6366292,0.01122795,
0.193,0.6366292,0.01122661,
0.194,0.6366292,0.01122528,
0.195,0.6366292,0.01122403,
0.196,0.6366292,0.01122289,
0.197,0.6366292,0.01122193,
0.198,0.6366292,0.01122107,
0.199,0.6366292,0.01122041,
0.2,0.6366292,0.01121993,
0.201,0.6366292,0.01121964,
0.202,0.6366292,0.01121964,
0.203,0.6366292,0.01121993,
0.204,0.6366292,0.0112205,
0.205,0.6366292,0.01122146,
0.206,0.6366292,0.0112227,
0.207,0.6366292,0.01122432,
0.208,0.6671542,0.01122633,
0.209,0.6671542,0.01122871,
0.21,0.6366292,0.01123139,
0.211,0.6366292,0.01123444,
0.212,0.6061043,0.01123769,
0.213,0.6061043,0.01124132,
0.214,0.6061043,0.01124523,
0.215,0.6061043,0.01124934,
0.216,0.6366292,0.01125382,
0.217,0.6366292,0.01125841,
0.218,0.6366292,0.01126318,
0.219,0.6366292,0.01126805,
0.22,0.6366292,0.01127282,
0.221,0.6366292,0.01127721,
0.222,0.6366292,0.0112817,
0.223,0.6366292,0.011286,
