Time,Force,EMG,
0,22.52305,0.009255692,
0.001,22.40095,0.009255692,
0.002,22.30937,0.009255692,
0.003,22.18727,0.009255692,
0.004,22.03465,0.009255692,
0.005,21.91255,0.009255692,
0.006,21.79045,0.009255692,
0.007,21.66835,0.009255692,
0.008,21.54625,0.009255692,
0.009,21.42415,0.009255692,
0.01,21.30205,0.009255692,
0.011,21.21047,0.009255692,
0.012,21.1189,0.009255692,
0.013,20.9968,0.009255692,
0.014,20.8747,0.009255692,
0.015,20.7526,0.009255692,
0.016,20.6305,0.009255692,
0.017,20.47787,0.009255692,
0.018,20.32525,0.009255692,
0.019,20.1421,0.009255692,
0.02,19.98947,0.009255692,
0.021,19.80632,0.009255692,
0.022,19.6537,0.009255692,
0.023,19.50107,0.009255692,
0.024,19.37897,0.009255692,
0.025,19.22635,0.009255692,
0.026,19.10425,0.009255692,
0.027,18.9211,0.009255692,
0.028,18.73795,0.009255692,
0.029,18.5548,0.009255692,
0.03,18.37165,0.009255692,
0.031,18.1885,0.009255692,
0.032,18.0664,0.009251873,
0.033,17.97483,0.009251873,
0.034,17.88325,0.009251873,
0.035,17.79168,0.009251873,
0.036,17.63905,0.009251873,
0.037,17.4559,0.009251873,
0.038,17.24223,0.009251873,
0.039,17.02855,0.009251873,
0.04,16.8454,0.009251873,
0.041,16.7233,0.009251873,
0.042,16.66225,0.009251873,
0.043,16.66225,0.009251873,
0.044,16.66225,0.009251873,
0.045,16.6012,0.009251873,
0.046,16.54015,0.009251873,
0.047,16.44858,0.009251873,
0.048,16.357,0.009251873,
0.049,16.2349,0.009251873,
0.05,16.17385,0.009251873,
0.051,16.14333,0.009251873,
0.052,16.14333,0.009251873,
0.053,16.14333,0.009251873,
0.054,16.14333,0.009251873,
0.055,16.1128,0.009251873,
0.056,16.08228,0.009251873,
0.057,16.02123,0.009251873,
0.058,15.92965,0.009251873,
0.059,15.89913,0.009251873,
0.06,15.83808,0.009251873,
0.061,15.80755,0.009251873,
0.062,15.80755,0.009251873,
0.063,15.80755,0.009251873,
0.064,15.77703,0.009251873,
0.065,15.7465,0.009251873,
0.066,15.71598,0.009251873,
0.067,15.68545,0.009251873,
0.068,15.68545,0.009251873,
0.069,15.71598,0.009251873,
0.07,15.71598,0.009251873,
0.071,15.71598,0.009251873,
0.072,15.7465,0.009251873,
0.073,15.77703,0.009251778,
0.074,15.77703,0.009251778,
0.075,15.83808,0.009251778,
0.076,15.8686,0.009251778,
0.077,15.89913,0.009251778,
0.078,15.89913,0.009251778,
0.079,15.89913,0.009251873,
0.08,15.89913,0.009251873,
0.081,15.89913,0.009251969,
0.082,15.8686,0.009252064,
0.083,15.83808,0.00925216,
0.084,15.80755,0.009252255,
