Time,Force,EMG,
10.33,63.42654,0.7664616,
10.331,63.39601,0.7739661,
10.332,63.36549,0.781553,
10.333,63.36549,0.7892224,
10.334,63.36549,0.7969801,
10.335,63.33496,0.8048392,
10.336,63.33496,0.8128195,
10.337,63.36549,0.8211908,
10.338,63.36549,0.8293421,
10.339,63.36549,0.8375223,
10.34,63.36549,0.8457358,
10.341,63.36549,0.8539874,
10.342,63.42654,0.8622844,
10.343,63.42654,0.870639,
10.344,63.39601,0.8790694,
10.345,63.45706,0.8875998,
10.346,63.48759,0.8965266,
10.347,63.45706,0.9051875,
10.348,63.42654,0.913863,
10.349,63.42654,0.9225642,
10.35,63.36549,0.9312999,
10.351,63.30444,0.9400785,
10.352,63.24339,0.9489099,
10.353,63.15181,0.9578081,
10.354,63.12129,0.9667911,
10.355,63.12129,0.9761634,
10.356,63.15181,0.9852177,
10.357,63.24339,0.9942491,
10.358,63.36549,1.003267,
10.359,63.48759,1.012278,
10.36,63.57916,1.021289,
10.361,63.70126,1.030308,
10.362,63.82336,1.039347,
10.363,63.97599,1.048423,
10.364,64.09809,1.057853,
10.365,64.25071,1.066905,
10.366,64.46439,1.075895,
10.367,64.58649,1.084839,
10.368,64.70859,1.093752,
10.369,64.83069,1.102649,
10.37,64.92226,1.111543,
10.371,65.01384,1.120452,
10.372,65.04436,1.1294,
10.373,65.07489,1.13871,
10.374,65.13594,1.147642,
10.375,65.22751,1.156522,
10.376,65.31909,1.165369,
10.377,65.44119,1.1742,
10.378,65.56329,1.183029,
10.379,65.68539,1.191866,
10.38,65.80749,1.200726,
10.381,65.92959,1.209627,
10.382,66.11274,1.218892,
10.383,66.29589,1.227767,
10.384,66.47904,1.236575,
10.385,66.69271,1.245336,
10.386,66.90639,1.254062,
10.387,67.18111,1.262766,
10.388,67.42531,1.271459,
10.389,67.70004,1.280157,
10.39,68.00529,1.28888,
10.391,68.31054,1.297958,
10.392,68.61579,1.306636,
10.393,68.92104,1.315247,
10.394,69.16524,1.323814,
10.395,69.40944,1.332355,
10.396,69.65364,1.340889,
10.397,69.89784,1.349432,
10.398,70.14204,1.358004,
10.399,70.41676,1.36663,
10.4,70.66096,1.375641,
10.401,70.90516,1.384284,
10.402,71.17989,1.392889,
10.403,71.42409,1.401479,
10.404,71.69881,1.410069,
